index,phase,group,label,wgx,wgy,wgz,workgroups,median_ms
0,forward,conv,"conv3 3->64 g1 @128x128",64,64,3,12288,4.1288
1,forward,gelu,"gelu n1048576",4096,1,3,12288,0.5898
2,forward,conv,"conv3 64->64 g64 @64x64",16,64,3,3072,0.7209
3,forward,gelu,"gelu n262144",1024,1,3,3072,0.1966
4,forward,pw+gelu,"pw+gelu 64->64 @64x64",128,2,3,768,0.4588
5,forward,conv,"conv3 64->64 g64 @64x64",16,64,3,3072,0.2621
6,forward,conv,"conv7 64->64 g64 @64x64",16,64,3,3072,1.1141
7,forward,pw+gelu,"pw+gelu 64->192 @64x64",128,6,3,2304,1.0486
8,forward,pw,"pw 192->64 @64x64",128,2,3,768,0.5243
9,forward,conv,"conv3 64->64 g64 @64x64",16,64,3,3072,0.3277
10,forward,conv,"conv7 64->64 g64 @64x64",16,64,3,3072,0.7864
11,forward,pw+gelu,"pw+gelu 64->192 @64x64",128,6,3,2304,0.7209
12,forward,pw,"pw 192->64 @64x64",128,2,3,768,0.8520
13,forward,conv,"conv7 64->128 g64 @32x32",4,128,3,1536,0.4588
14,forward,gelu,"gelu n131072",512,1,3,1536,0.0000
15,forward,pw+gelu,"pw+gelu 128->128 @32x32",32,4,3,384,0.1966
16,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.0655
17,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.3932
18,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.6554
19,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.3932
20,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.0655
21,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.5243
22,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.4588
23,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.5243
24,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.0655
25,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.3932
26,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.5898
27,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.4588
28,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.0655
29,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.3932
30,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.5243
31,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.4588
32,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.0655
33,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.3932
34,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.4588
35,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.7209
36,forward,conv,"conv3 128->128 g128 @32x32",4,128,3,1536,0.0655
37,forward,conv,"conv7 128->128 g128 @32x32",4,128,3,1536,0.6554
38,forward,pw+gelu,"pw+gelu 128->384 @32x32",32,12,3,1152,0.6554
39,forward,pw,"pw 384->128 @32x32",32,4,3,384,0.7864
40,forward,conv,"conv7 128->256 g128 @16x16",1,256,3,768,0.3277
41,forward,se,"se c256 mid64 @16x16",1,1,3,3,0.2621
42,forward,gelu,"gelu n65536",256,1,3,768,0.0000
43,forward,pw+gelu,"pw+gelu 256->256 @16x16",8,8,3,192,0.1966
44,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0000
45,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.1966
46,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.7864
47,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.5243
48,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
49,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.3932
50,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.6554
51,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.9175
52,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
53,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.4588
54,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.4588
55,forward,pw,"pw 768->256 @16x16",8,8,3,192,1.0486
56,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0000
57,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.3932
58,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.5243
59,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.9830
60,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
61,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.1966
62,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,1.0486
63,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.4588
64,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
65,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.3277
66,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.5243
67,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.9175
68,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0000
69,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.2621
70,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.8520
71,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.8520
72,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
73,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.3932
74,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.5243
75,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.9175
76,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
77,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.5243
78,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.4588
79,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.9830
80,forward,conv,"conv3 256->256 g256 @16x16",1,256,3,768,0.0655
81,forward,conv,"conv7 256->256 g256 @16x16",1,256,3,768,0.2621
82,forward,pw+gelu,"pw+gelu 256->768 @16x16",8,24,3,576,0.9175
83,forward,pw,"pw 768->256 @16x16",8,8,3,192,0.5243
84,forward,conv,"conv7 256->512 g256 @8x8",1,512,3,1536,0.3277
85,forward,se,"se c512 mid128 @8x8",1,1,3,3,0.1966
86,forward,gelu,"gelu n32768",128,1,3,384,0.0655
87,forward,pw+gelu,"pw+gelu 512->512 @8x8",2,16,3,96,0.1966
88,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.1966
89,forward,pw,"pw 512->1536 @8x8",2,48,3,288,1.5073
90,forward,attn.core,"attn.core h16 n64",16,1,3,48,0.1311
91,forward,pw,"pw 512->512 @8x8",2,16,3,96,0.3932
92,forward,conv,"conv7 512->512 g512 @8x8",1,512,3,1536,0.3932
93,forward,pw+gelu,"pw+gelu 512->1536 @8x8",2,48,3,288,1.0486
94,forward,pw,"pw 1536->512 @8x8",2,16,3,96,1.1141
